NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.550422108440604,0,NaN,0,0.05
0,2.3050389623451824,0,NaN,0,0.1
0,2.2235798059756964,0,NaN,0,0.15
0,2.88307013092927,0,NaN,0,0.2
0,2.5078922489125834,0,NaN,0,0.25
0,2.5196243645412517,0,NaN,0,0.3
0,2.532092212541143,0,NaN,0,0.35
0,2.4264689084754183,0,NaN,0,0.4
0,2.4471363266599404,0,NaN,0,0.45
0,2.2940837544209765,0,NaN,0,0.5
0,2.410351448650771,0,NaN,0,0.55
0,2.471040669125219,0,NaN,0,0.6
0,2.3545601905951004,0,NaN,0,0.65
0,2.328930873677186,0,NaN,0,0.7
0,2.1557504265872547,0,NaN,0,0.75
0,1.9743231621449264,0,NaN,0,0.8
0,2.036391138677505,0,NaN,0,0.85
0,1.7078344512904169,0,NaN,0,0.9
0,0.9411288964880983,0,NaN,0,0.95
